metabolite_identification	QC-3	QC-4	QC-5	QC-6	QC-7	QC-8	QC-9	QC-10	AS1	AS2	AS3	AS4	AS5	AS6	AS7	AS8	AS9	AS10	AS11	AS12	AS13	AS14	AS15	AS16	AS17	AS18	AS19	AS20	AS21	AS22	AS23	AS24	AS25	AS26	AS27	AS28	AS29	AS30	AS31	AS32	AS33	AS34	AS35	AS36	AS37	AS38	AS39	AS40	FU1	FU2	FU3	FU4	FU5	FU6	FU7	FU8	FU9	FU10	FU11	FU12	FU13	FU14	FU15	FU16	FU17	FU18	FU19	FU20	FU21	FU22	FU23	FU24	FU25	FU26	FU27	FU28	FU29	FU30	FU31	FU32	FU33	FU34	FU35	FU36	FU37	FU38	FU39	FU40
Guanosine	0.004844347	0.00519837	0.005193731	0.006348713	0.007485406	0.01051099	0.011083136	0.012263776	0.00546074	0.004635959	0.003765907	0.005133135	0.004329368	0.005532351	0.006514987	0.005469515	0.003270175	0.003382458	0.004560238	0.005135983	0.00416006	0.004156441	0.004558631	0.003888606	0.004664178	0.004192187	0.00378029	0.004100872	0.003844624	0.004528664	0.004135818	0.00331519	0.002949775	0.001641436	0.003045197	0.001265299	0.002056023	0.010548783	0.008435554	0.006873893	0.008364233	0.005611447	0.007637968	0.014108188	0.008530963	0.008785102	0.007672439	0.005590674	0.00676815	0.005970391	0.006615882	0.006467611	0.005798151	0.007183336	0.008524485	0.008286659	0.007318385	0.007854848	0.009174156	0.00737838	0.008287906	0.007450648	0.008087262	0.007884333	0.009873455	0.01221325	0.010397655	0.011020476	0.00863695	0.013026664	0.012811303	0.012321156	0.009843686	0.009645356	0.009436116	0.010274537	0.011616691	0.010370903	0.012972559	0.010292927	0.01242456	0.012810515	0.016316926	0.011993574	0.012308542	0.014628622	0.016022616	0.013407683
Glycerol 3-phosphate	0.031832602	0.032923288	0.035558557	0.036701801	0.038129442	0.040605163	0.041883115	0.045147383	0.054255019	0.038398312	0.020559895	0.020434384	0.027588291	0.020352284	0.081465946	0.045587093	0.024907522	0.028548928	0.039858641	0.037761523	0.026564299	0.014514296	0.038813498	0.031475262	0.033854003	0.043039577	0.02130077	0.043719731	0.027738391	0.027175569	0.042073749	0.036589994	0.036718587	0.045052283	0.057896742	0.015018272	0.06568955	0.044932022	0.064769367	0.039878444	0.049173079	0.064768528	0.072254637	0.041740363	0.047264384	0.066756402	0.044988425	0.039975701	0.070579414	0.049634549	0.05297781	0.069404406	0.075301423	0.074576298	0.071805448	0.070614721	0.062758629	0.047794705	0.044974901	0.051323394	0.070259402	0.042662348	0.061655973	0.046585635	0.079010423	0.060235736	0.09968418	0.063776215	0.043688828	0.074843777	0.059737498	0.04550164	0.048382851	0.045252176	0.051181812	0.080997134	0.057557509	0.047003041	0.060067051	0.039390302	0.090969962	0.070950187	0.078824432	0.0778171	0.094444308	0.104765296	0.10150611	0.070154313
4-methylbenzenesulfonamide	0.0000985	0.000275102	0.0000807	0.000152377	0.000101888	0.0000799	0.000109519	0.000126417	0.0000884	0.000175223	0.000157198	0.000226073	0.000146426	0.015750167	0.000172855	0.000296469	0.000278431	0.000375559	0.000314651	0.000330417	0.004851971	0.00023502	0.024692266	0.00024373	0.000315155	0.000276132	0.000217431	0.000258045	0.000248569	0.000393544	0.00038568	0.000131095	0.000268804	0.000307434	0.000172684	0.000272195	0.000369689	0.000253154	0.000263035	0.000225138	0.000256325	0.000263349	0.000237535	0.000195327	0.000408288	0.000243389	0.000241394	0.0000961	0.00049075	0.000295369	0.000231402	0.000200102	0.000272147	0.016162205	0.000185503	0.000264094	0.000230284	0.000289739	0.0005889	0.000178756	0.009562592	0.000191369	0.026941346	0.000260369	0.000320749	0.000348788	0.00034767	0.000275798	0.000374398	0.000484282	0.000193945	0.000234453	0.000319273	0.000229424	0.000180393	0.000105949	0.000243982	0.000188031	0.000151307	0.000278138	0.0000543	0.000331231	0.00019097	0.00032544	0.000239488	0.000239468	0.000234598	0.000262492
Galactitol	0.0267218	0.028136432	0.031749842	0.033323525	0.035821519	0.034984351	0.007257046	0.045527278	0.019800147	0.006672822	0.004400349	0.01233631	0.022442189	0.016236416	0.017191437	0.006846968	0.015307676	0.026969588	0.028881355	0.009618038	0.014119506	0.019302587	0.002758949	0.016791659	0.011162191	0.017226253	0.008629945	0.020925653	0.031604175	0.009960729	0.030529818	0.017918776	0.006010935	0.009131133	0.013038747	0.022552813	0.035474233	0.025997427	0.029615539	0.004840102	0.009480152	0.004430448	0.005544551	0.041585483	0.0121952	0.018349392	0.019786758	0.020851325	0.042022344	0.022796671	0.026707112	0.0069015	0.024376467	0.028588301	0.032252531	0.036615598	0.032500812	0.029788985	0.028125378	0.007518897	0.024480115	0.005844688	0.025862717	0.023204965	0.040750895	0.038005922	0.041464782	0.039270917	0.010536774	0.032838802	0.03297285	0.036931368	0.032183676	0.026986709	0.017459638	0.011386073	0.01134908	0.039625485	0.028601847	0.01510768	0.033924279	0.040094473	0.044413425	0.03657471	0.039764505	0.028922102	0.011591832	0.035285721
Ribonic acid	0.007085915	0.007349279	0.007358419	0.007692204	0.00805201	0.007877364	0.00809649	0.007863617	0.008882097	0.00525439	0.004679353	0.006163219	0.005758584	0.007274511	0.004697411	0.00501373	0.003303942	0.008009423	0.005612756	0.006109541	0.003531269	0.004296884	0.004374615	0.00408493	0.008089679	0.003511407	0.006243616	0.003975404	0.008011744	0.006607146	0.006665682	0.00422833	0.004938182	0.003736218	0.004002802	0.003474738	0.005473772	0.005942992	0.006031612	0.004312426	0.00563589	0.004420258	0.006194221	0.006774261	0.007585077	0.004794149	0.00696939	0.005512695	0.016018039	0.009142559	0.01431505	0.008105216	0.005054601	0.007195289	0.01057121	0.01079248	0.009693403	0.019446673	0.011503066	0.007385583	0.00826938	0.004608763	0.009557532	0.010173727	0.01574453	0.009720048	0.014422742	0.008600004	0.009893642	0.010727339	0.012154435	0.011678266	0.018587576	0.010733393	0.005225557	0.009808405	0.011264233	0.014101502	0.008146674	0.008102718	0.00791639	0.013672937	0.009384164	0.015795821	0.018266829	0.009781982	0.005650807	0.023740021
L-glutamine	1.517050674	1.645030557	1.81953384	1.894053731	2.042502983	1.929799486	1.9761349	1.968604595	0.381319134	0.566572424	0.259371418	0.566374212	1.404249566	0.915897869	0.858647058	1.252465367	0.94940823	1.773656605	2.02091098	2.164351623	0.90613846	1.42639801	1.787499664	1.696960872	1.558896443	1.176088298	0.775928138	1.223270043	1.67123426	1.762714373	2.096487167	0.853176368	1.446961059	1.919110017	1.200899526	0.595743937	2.325887687	1.704771022	1.65753995	1.158600815	2.32391046	1.317692782	1.565761882	2.977695847	2.534535486	1.402177849	2.15945646	0.944357447	2.590423126	1.473533041	1.745797582	1.521898051	1.525212054	1.735323693	2.209714957	2.208856722	1.665031015	1.865467802	1.71029718	1.758268431	1.702365879	1.368379333	1.565708993	1.340986505	2.194333804	1.835435245	2.48385329	2.289757619	1.86900646	2.282435023	1.890378174	2.037122409	1.942641193	1.68838409	1.104493569	1.574250407	2.149319953	1.502261418	1.635357514	2.010670973	2.074065106	2.524170021	2.714848484	2.132020306	2.002582978	1.485584628	1.731836477	1.822198525
Trehalose-6-phosphate	0.00013252	0.000133843	0.000441123	0.000374784	0.000426965	0.000518721	0.000648103	0.000455875	0.001525108	0.001531883	0.000820008	0.001239263	0.00165789	0.00326571	0.000672187	0.001884745	0.000169055	0.008691525	0.000962896	0.003171648	0.002059751	0.002935269	0.000612878	0.002846174	0.002648362	0.000453501	0.001243159	0.000315419	0.000700153	0.00204498	0.000457118	0.000398153	0.003317583	0.002699964	0.000653571	0.000267083	0.000341508	0.00393428	0.004765855	0.014388569	0.004391636	0.00362566	0.004553628	0.001687733	0.002073185	0.002748696	0.001917873	0.000322443	0.00784836	0.00528237	0.005062149	0.010423514	0.015939862	0.00452084	0.014818118	0.004963736	0.0035024	0.01406267	0.008543518	0.013715478	0.012669453	0.007119994	0.00828898	0.015216044	0.00815268	0.000566168	0.002384145	0.001283877	0.013006899	0.011099821	0.019318926	0.007173991	0.014445457	0.008607387	0.007710457	0.001942466	0.009868874	0.003173168	0.000495014	0.012536656	0.000244861	0.014602312	0.003703748	0.016866025	0.023201392	0.009482023	0.014243892	0.026085829
Terephthalic acid	0.013001859	0.010020598	0.008389451	0.007288007	0.00700562	0.007996918	0.006829553	0.007047837	0.04849836	0.036840223	0.027975949	0.024752903	0.023648565	0.021959476	0.019127833	0.017961412	0.016578746	0.016592045	0.014438433	0.015609558	0.011815651	0.016117657	0.012212995	0.012622504	0.01250705	0.012077751	0.010694604	0.01057633	0.010036716	0.012278911	0.011955982	0.011037385	0.00882461	0.008840806	0.009585919	0.011124519	0.008552757	0.010815066	0.009322414	0.008676022	0.008787533	0.010177259	0.008327996	0.009731692	0.009130665	0.007677187	0.008807247	0.006856352	0.012632778	0.008954773	0.008875948	0.009902001	0.007905572	0.009347691	0.007531368	0.008174982	0.008902779	0.009204451	0.008534862	0.007351872	0.011791449	0.011364843	0.00938642	0.007649883	0.009134048	0.015175847	0.011021628	0.010809027	0.008403932	0.01526473	0.009539478	0.008497204	0.009195642	0.007594974	0.007257309	0.006711871	0.007553942	0.007160414	0.006587711	0.006044602	0.009227041	0.009286419	0.007943111	0.009430817	0.011124588	0.014035318	0.0091022	0.009553912
Azelaic acid	0.006220802	0.006165873	0.006252553	0.006389139	0.006996491	0.007063864	0.0077523	0.007935698	0.001128344	0.000918754	0.000813921	0.0000604	0.000599375	0.000832643	0.001139051	0.0000518	0.031594783	0.000855724	0.000629996	0.000747457	0.053402402	0.000538509	0.080909573	0.075880485	0.000733373	0.150003685	0.000576315	0.172505697	0.000614704	0.000531397	0.000693746	0.000772602	0.000749874	0.000736804	0.000778916	0.000755401	0.000657415	0.000803028	0.000961996	0.002668572	0.002270376	0.000706301	0.000830553	0.000694394	0.002780831	0.0012102	0.000970582	0.000521876	0.000297916	0.0000933	0.0000152	0.001945016	0.003444624	0.001290581	0.000649667	0.000114479	0.000631208	0.000264032	0.0000871	0.001231876	0.0000443	0.0000149	0.0000439	0.00047516	0.000174717	0.000874852	0.0000502	0.000764058	0.000547384	0.001400776	0.001258769	0.000741463	0.0000781	0.00020689	0.0000489	0.0000547	0.000147368	0.001130708	0.0000403	0.000735609	0.000666534	0.0000457	0.000137793	0.002003616	0.000421082	0.000898062	0.00064119	0.001311391
Methyl alpha-d-glucofuranoside	0.002445874	0.002375609	0.003226184	0.002986995	0.003452562	0.003290049	0.003917116	0.000844099	0.322668051	0.000216353	0.135823335	0.182912421	0.013407738	0.033615703	0.004466755	0.237392172	0.009811092	0.06065368	0.001595612	0.015312982	0.013949881	0.017943292	0.020394129	0.019187407	0.007352317	0.038348862	0.020456301	0.040094781	0.001767599	0.028764749	0.002611423	0.00190805	0.008911022	0.009359852	0.003116974	0.001781623	0.00024435	0.207043741	0.013578966	0.09126721	0.015090268	0.079400711	0.009113896	0.002933495	0.007533602	0.044734577	0.004124435	0.000754982	0.033564495	0.044198373	0.092628858	0.223731643	0.770897997	0.060021291	0.168413507	0.021915867	0.009861484	0.092379072	0.079795133	0.177163148	0.114327504	0.068983513	0.106958388	0.109784965	0.115510656	0.001554507	0.026062427	0.001410302	0.061686968	0.016814523	0.151222716	0.023389272	0.185025344	0.084414997	0.074541922	0.02395746	0.057892473	0.031349109	0.000925536	0.084702974	0.000649417	0.127398559	0.00687581	0.280653287	0.171870106	0.032609215	0.046493105	0.076500904
Hypoxanthine	0.051225573	0.054953357	0.057807338	0.060907241	0.06880093	0.06890467	0.074347652	0.075683444	0.015399145	0.010458004	0.018513453	0.012560242	0.017487392	0.024389455	0.231447115	0.018646415	0.035265655	0.014377233	0.009362514	0.01180992	0.077068392	0.011553429	0.040334634	0.050341166	0.017924162	0.070556753	0.014224057	0.064586546	0.008543905	0.013554807	0.164090088	0.299325059	0.091665762	0.050833493	0.13469779	0.048868904	0.038812751	0.031670281	0.043170399	0.026186258	0.029002345	0.019269314	0.023737882	0.019542932	0.021103203	0.032168279	0.031137252	0.071649925	0.025654246	0.028487999	0.031927742	0.064193721	0.090526116	0.066308913	0.036469999	0.740493162	0.036531531	0.027881396	0.028540824	0.026277443	0.592670217	0.035882489	0.095875361	0.028191798	0.033099909	0.021972554	0.034892526	0.039917542	0.087400033	0.144417915	0.040762247	0.022054102	0.018732266	0.032918007	0.016276801	0.899525518	0.054499552	0.01569533	0.008933619	0.030058296	0.279696268	0.055823403	0.037625063	0.010937181	0.020178219	0.011211921	0.24343506	0.031609274
D-fructose	0.002752377	0.000628408	0.000985667	0.000949902	0.001012019	0.001012313	0.000912746	0.001003662	0.322668051	0.072904259	0.135996147	0.182912421	0.00870956	0.288653839	0.004378724	0.237392172	0.000249287	0.021738969	0.005147329	0.013246568	0.000229204	0.07978179	0.003644201	0.004146947	0.014419658	0.000519472	0.019133577	0.003933072	0.003275038	0.02589009	0.002611423	0.00190805	0.008746166	0.00480426	0.003116974	0.001781623	0.00024435	0.207041199	0.022402161	0.066136087	0.024075538	0.079400711	0.020538987	0.008466495	0.010054823	0.039819621	0.009532266	0.000754982	0.033143031	0.032347516	0.12642673	0.128657515	0.061507889	0.093302918	0.082179873	0.025665463	0.054103378	0.122287006	0.072247324	0.037508002	0.039589098	0.284672825	0.140693983	0.082679072	0.084952115	0.000961359	0.026218001	0.001414142	0.071295933	0.041134322	0.058709131	0.042633733	0.189043615	0.030946799	0.050559778	0.02118256	0.057505009	0.031668089	0.003318998	0.05932065	0.003972981	0.080049821	0.010191009	0.138978458	0.10205908	0.030626068	0.051446729	0.072590122
Ricinoleic acid	0.002128869	0.002080694	0.002102613	0.001928123	0.002042092	0.001841038	0.002295099	0.001982841	0.00183006	0.001016218	0.000878305	0.00144101	0.000206192	0.002217942	0.000411549	0.001078707	0.007039554	0.000255922	0.000480767	0.000450851	0.012487303	0.001239567	0.019862151	0.021725668	0.000468809	0.032149863	0.000222215	0.037696107	0.000179808	0.0001797	0.000319547	0.000172106	0.000619474	0.000173452	0.000185275	0.000152469	0.000432151	0.001694336	0.000220517	0.000630182	0.000696425	0.000763971	0.000911244	0.00062487	0.00037423	0.000541866	0.000434654	0.000203925	0.001102922	0.000669395	0.001376192	0.00108102	0.000886846	0.001153514	0.001088302	0.000745272	0.000552481	0.001326301	0.00076816	0.000524569	0.000944936	0.001743854	0.001246907	0.000849316	0.000536697	0.000415586	0.001060978	0.00029658	0.00104602	0.000604917	0.000859799	0.000769211	0.000890266	0.000921407	0.000881421	0.000881415	0.000926986	0.000454953	0.000267981	0.000466841	0.000517638	0.00134944	0.000665916	0.000732839	0.00139521	0.000438615	0.000448341	0.00089977
D-mannose	0.002049918	0.001985074	0.002258435	0.002222417	0.002324812	0.002382958	0.002807373	0.002642208	0.236783972	0.131835819	0.08480927	0.501173804	0.035111777	0.819952356	0.004292321	0.168597704	0.000919359	0.100769196	0.016719572	0.048683526	0.003441277	0.166295122	0.00833053	0.010541608	0.0288583	0.004039945	0.043170049	0.00383775	0.005947183	0.036245033	0.00111122	0.001373352	0.010863508	0.022643633	0.006078139	0.002903567	0.001952674	0.296049987	0.029253778	0.236199279	0.075134984	0.048092633	0.030978326	0.04046554	0.033749402	0.034637887	0.027798761	0.000523007	0.09284401	0.107669003	0.457741197	0.290457321	0.286086162	0.339355931	0.27682944	0.079462083	0.019303935	0.197582113	0.239024667	0.142714959	0.185161086	0.129307626	0.499021575	0.331898775	0.159849081	0.002152508	0.031035726	0.017865577	0.09440409	0.044786257	0.222577928	0.151786711	0.213396389	0.167382496	0.189317925	0.018523564	0.240018853	0.113496323	0.003472555	0.14021762	0.002862747	0.307847333	0.047142871	0.225920073	0.188213298	0.097377226	0.115282082	0.235071941
3-phosphoglyceric acid	0.004701455	0.004682701	0.004839239	0.004942797	0.005293096	0.005685807	0.006212422	0.006493535	0.00184979	0.002385605	0.002776441	0.002137503	0.002953736	0.005130167	0.000113994	0.004476871	0.0000638	0.001964649	0.002027626	0.00887654	0.000164972	0.003055541	0.0000533	0.0000536	0.002335769	0.0000263	0.002111637	0.0000313	0.002578269	0.003053731	0.0000712	0.0000752	0.0000177	0.000163117	0.000188522	0.0000177	7.94E-10	0.005328284	0.005047944	0.00509188	0.020339072	0.006588176	0.005665044	0.005574194	0.005272476	0.005441555	0.006087208	0.0000621	0.004671298	0.004177874	0.011071915	0.006095159	0.005464604	0.007405244	0.006585356	0.031513331	0.010203122	0.008797342	0.005272183	0.00330785	0.0146736	0.007030365	0.005536462	0.002690176	0.0034207	0.004276636	0.003399064	0.062679094	0.004823394	0.02815342	0.005273851	0.004737184	0.002133964	0.012016714	0.002842664	0.018555615	0.008729028	0.002693127	0.005082407	0.005519239	0.011406296	0.014727556	0.017030829	0.005371482	0.004478655	0.009200287	0.011972798	0.006155999
"7-(1-methylethyl)-5-oxo-2-amino-5h-chromeno[2,3-b]pyridine-3-carboxylate"	7.94E-10	7.94E-10	7.94E-10	7.94E-10	7.94E-10	7.94E-10	7.94E-10	7.94E-10	0.001598993	0.000711347	0.000903789	0.00082032	0.000619742	0.000687581	0.001823666	0.000717505	0.000561594	0.000337729	0.000631888	0.000474563	0.000327977	0.000417451	0.001619561	0.000824998	0.000961558	0.001423874	0.000495064	0.001277091	0.000677414	0.000621063	0.001132384	0.000758568	0.000285836	0.000114424	0.001115083	0.000455355	0.001564503	0.000839647	0.001434973	0.000764253	0.000716313	0.000642883	0.000884522	0.000925861	0.00111141	0.000583953	0.000623251	7.94E-10	0.002420236	0.00124406	0.002072536	0.001709781	0.001042313	0.002326137	0.001505802	0.002319245	0.001531054	0.000485766	0.001057895	0.001056525	0.000603736	0.001057199	0.001769984	0.000929744	0.001299036	0.001347856	0.002123772	0.001519732	0.001275404	0.001703773	0.00129991	0.001004833	0.001060137	0.000638779	0.000566034	0.002182027	0.001358667	0.000865837	0.001490625	0.000893397	0.001026443	0.00130942	0.001377888	0.001583507	0.000995005	7.94E-10	0.00086345	0.000597639
Arabinofuranose	0.000380815	0.000353418	0.0000224	0.000399637	0.000402055	0.000247887	0.000362461	0.000458924	0.289615387	0.025985092	0.08078369	0.041127617	0.004517629	0.069448837	0.014802352	0.108516781	0.000123962	0.005402085	0.014695686	0.002703868	0.013110567	0.037871502	0.015514247	0.00268703	0.007169883	0.022720521	0.009324051	0.017652511	0.010991157	0.015604442	0.018292722	0.018418543	0.005134932	0.0000586	0.028175261	0.0000317	0.030156716	0.143965335	0.014231301	0.036545144	0.005544502	0.041266479	0.011595322	0.003759528	0.027510549	0.026213828	0.021584006	0.00027209	0.015700654	0.018336998	0.045561446	0.099502034	0.066385194	0.029250005	0.068997141	0.020450835	0.025895935	0.13530066	0.035380442	0.033957496	0.042016384	0.348122276	0.07105279	0.034964339	0.09601933	0.01943157	0.018223318	0.031596268	0.07818143	0.022412091	0.037995753	0.013494014	0.234314707	0.030655692	0.023035427	0.01122853	0.021050639	0.010647421	0.009289003	0.044810086	0.023241224	0.029433446	0.006528348	0.145997132	0.090434353	0.01409847	0.040500787	0.035979872
Psicopyranose	0.019586036	0.022708781	0.024169665	0.024931286	0.025159596	0.026498148	0.026455931	0.025681621	0.142888699	0.013516502	0.031652127	0.01619227	0.011932958	0.027151302	0.011009623	0.04803993	0.038832661	0.012990491	0.014685685	0.019256698	0.012359608	0.018889686	0.014216056	0.007225508	0.01856011	0.02077876	0.003978085	0.017053877	0.009892865	0.025917253	0.015769239	0.017387977	0.010681321	0.000104031	0.023760017	0.0000332	0.02740376	0.139181787	0.011233282	0.021193142	0.066997429	0.02341472	0.080137652	0.033772706	0.023220737	0.020381429	0.019480891	0.017507951	0.048730147	0.015491647	0.027664726	0.034548737	0.019570122	0.013630716	0.014679122	0.016483898	0.011985732	0.029850578	0.015951039	0.012889278	0.012729463	0.105404669	0.030164438	0.015055146	0.021516417	0.018350709	0.021771916	0.029506739	0.021088709	0.061336892	0.018248025	0.016993062	0.076535823	0.009515568	0.011756238	0.022340745	0.045177748	0.022869266	0.008811018	0.013404637	0.023942939	0.007587045	0.048955364	0.048334796	0.037746397	0.004389701	0.01255601	0.027708508
Citric acid	4.351491317	4.451788264	4.443582443	4.383775567	4.329847003	4.39966417	4.344997436	4.30330395	0.601125837	0.550292643	0.391388307	0.57120187	0.551635054	0.574317737	0.198551591	0.378928467	0.243157235	0.596600698	0.967733996	0.703334795	0.086674791	0.472377801	0.183455739	0.17813173	0.803593194	0.096773798	0.558428432	0.199688894	0.423580487	0.600520565	0.115787297	0.092242099	0.108306683	2.70797652	0.477190744	1.369016803	0.486858302	1.035697645	0.707982869	0.816649157	0.656198466	0.884940678	0.793971754	0.812078769	1.253678742	0.931544152	0.720611825	0.114791447	1.194262312	0.746831264	1.248616356	0.983363336	0.698317046	1.307520051	1.343145223	0.750524417	1.10492209	0.848778646	1.228045902	1.137351465	1.130254159	1.340557609	1.606425336	0.822787771	1.280133558	0.90184894	1.153494866	0.844053837	1.091402268	1.42699321	0.828046862	0.996131154	1.267660356	0.999248123	1.083473915	0.817224435	1.157864038	0.909519856	0.784422178	0.859768957	0.927915776	1.287063053	1.487213423	1.118180597	1.14225827	0.925880655	0.657877105	1.24588077
Isocitric acid	0.009902404	0.010038757	0.010973441	0.010307868	0.010871364	0.011454666	0.011316272	0.011499184	0.005030102	0.010211666	0.006088886	0.009204309	0.006127221	0.011366153	0.001328297	0.00701683	0.001067281	0.00583187	0.009102488	0.008099111	0.000692085	0.009496217	0.001096827	0.000591877	0.009847708	0.000456469	0.0096206	0.000831197	0.003176495	0.008911454	0.00058198	0.00077423	0.000799366	0.271061522	0.001649365	0.035532068	0.000767586	0.012644763	0.010364725	0.009591308	0.011864815	0.018976877	0.012816906	0.008887443	0.009988902	0.012209751	0.009343101	0.000575128	0.01376193	0.009118627	0.02451935	0.01856122	0.013614306	0.030046412	0.017723088	0.015530174	0.009998471	0.011087813	0.011296413	0.011199678	0.020792708	0.02585094	0.022648534	0.008237778	0.018259364	0.016331921	0.012380952	0.017739077	0.011188487	0.023553672	0.008883953	0.010745018	0.009127162	0.0152547	0.028423157	0.009963508	0.014012747	0.013955662	0.01101217	0.008644115	0.019131385	0.016819628	0.021350553	0.011676046	0.013300808	0.013328629	0.012820979	0.010580699
D-erythro-sphingosine	0.000748162	0.000808542	0.000848115	0.000953908	0.000916407	0.000865918	0.002000523	0.003058984	0.002059978	0.001377933	0.001997257	0.002420596	0.001818245	0.004426788	0.000546803	0.001869229	0.001120949	0.000521862	0.003065025	0.000827438	0.001592972	0.005105786	0.002700744	0.001141421	0.000736077	0.001857054	0.001257808	0.001467785	0.000590493	0.001551958	0.000570766	0.000558543	0.000603754	0.557485241	0.000984774	0.476305865	0.000787269	0.003810764	0.003171818	0.001622035	0.004861169	0.001517188	0.001837499	0.000981282	0.002909857	0.000818096	0.002457125	0.000231364	0.002743307	0.002976505	0.02184172	0.030927731	0.000317445	0.020197228	0.005437307	0.000601384	0.003760847	0.021234992	0.004480527	0.005522297	0.000262851	0.00151442	0.00746845	0.004574254	0.005934384	0.003574203	0.003310144	0.009939807	0.003607974	0.012266815	0.001413283	0.004364882	0.001650334	0.006153112	0.00026029	0.000597786	0.005336478	0.005053372	0.003423455	0.003667965	0.003907045	0.007166006	0.005503759	0.003719839	0.006084363	0.002703059	0.000668347	0.005867946
Citrulline	0.007593312	0.009195942	0.011532354	0.012479185	0.018845327	0.016483606	0.018402337	0.019704191	0.009488051	0.01033523	0.007196056	0.016319136	0.00977299	0.019527403	0.019996857	0.033722104	0.016377618	0.012231642	0.018530925	0.017515021	0.023083399	0.026449662	0.046132658	0.025289892	0.01619104	0.027875766	0.008337691	0.028239064	0.014032375	0.017068832	0.028699373	0.017411023	0.020679519	0.633974856	0.011624859	0.530459697	0.035628685	0.011477186	0.016699526	0.011664054	0.013682287	0.01630189	0.006067987	0.01230465	0.019974763	0.011328297	0.015064225	0.008874078	0.029288151	0.012225545	0.022629297	0.013829041	0.012845391	0.02381413	0.023913082	0.022326431	0.015465058	0.020013788	0.015464859	0.016145591	0.012279728	0.009672695	0.015156227	0.010223375	0.0290738	0.020007586	0.03785878	0.020414805	0.015305087	0.019382881	0.024890037	0.021977617	0.021025152	0.020263793	0.014997188	0.011659524	0.024777009	0.0228425	0.023657889	0.024705457	0.017298338	0.034097549	0.010109737	0.023005064	0.021796082	0.014446277	0.01449705	0.026063251
N-acetyl-5-hydroxytryptamine	0.006761383	0.005459399	0.006937329	0.008378269	0.011637023	0.01332042	0.01440662	0.014572952	0.008061662	0.008317594	0.005907327	0.007327087	0.008203623	0.009250694	0.007551286	0.009140755	0.006061157	0.004938096	0.006518963	0.007904487	0.007184874	0.007063714	0.005921029	0.004865917	0.008108215	0.005390029	0.005383728	0.003078778	0.004538463	0.008785781	0.005478213	0.003171206	0.002154594	0.008747996	0.001584586	0.001142747	0.000971717	0.004314752	0.005748241	0.00662918	0.00707238	0.011625308	0.007222679	0.008365537	0.006626697	0.006767229	0.00820297	0.005623336	0.011938291	0.009796019	0.021082098	0.021271817	0.011417625	0.0217711	0.030366455	0.029647152	0.024783017	0.020597073	0.011876131	0.013066925	0.027268124	0.020591691	0.033375597	0.022735611	0.034148622	0.013221239	0.020474768	0.01835584	0.015437525	0.02347207	0.013115935	0.028603259	0.030544969	0.034004998	0.027046386	0.021746912	0.036461556	0.034089048	0.031028158	0.023988273	0.026144691	0.048540168	0.017347389	0.041988011	0.039574841	0.0618069	0.077158093	0.036295164
Myo-inositol	0.000198774	0.0000271	0.000254075	0.0000217	0.0000275	0.000366717	0.0000616	0.000131807	0.000178669	0.000148343	0.000162497	0.000186388	0.000293746	0.000194793	0.000635247	0.00050381	0.000572415	0.0000181	0.0000135	0.0000153	0.0000182	0.000175474	0.000223318	7.94E-10	0.00000324	0.0000923	0.000146219	0.0000363	0.000101812	0.000170388	0.000157949	0.000025	0.000049	0.096152673	0.00002	0.251102303	0.0000984	0.000222931	0.000140766	0.00029906	0.00000381	0.00012518	0.0000193	0.0000301	0.0000579	0.0000138	0.0000502	0.000104397	0.000162181	0.0000883	0.0000683	0.003772239	0.002141865	0.000106118	0.00012439	0.000222269	0.0000552	0.000028	0.0000431	0.000200051	0.000143982	0.0000351	0.000519829	0.002386417	0.0000363	0.000136488	0.000141661	0.000176474	0.00034905	0.000135479	0.0000914	0.000372314	0.000123761	0.0000476	0.000319138	0.000209486	0.000483603	0.000129136	0.000121847	0.000175718	0.000151868	0.000353903	0.0000632	0.0000838	0.000355354	0.00033073	0.000411956	0.000237331
3-hydroxy-3-(4'-hydroxy-3'-methoxyphenyl)propionic acid	0.000863982	0.000740628	0.000968893	0.000929018	0.001059639	0.001108956	0.001318615	0.001557863	0.001031792	0.0000223	0.0000166	0.000863967	0.000428165	0.001016687	0.001399249	0.000948151	0.000622343	0.0000234	0.000739655	0.000570937	0.000567597	0.001063029	0.0000429	0.001020257	0.000756392	0.0000213	0.000441524	0.000715072	0.000551129	0.001027437	0.001181053	0.000696458	0.001023382	0.000811793	0.000675999	0.000895618	0.00118417	0.000649194	0.001126286	0.001138651	0.00084381	0.001177089	0.001011619	0.001022025	0.00124307	0.000984255	0.001076343	0.000498845	0.001189533	0.000708119	0.001269152	0.001356025	0.000826567	0.001403738	0.001402437	0.001559593	0.001441994	0.001082465	0.000998734	0.000925206	0.000871237	0.001847907	0.001175102	0.001183481	0.001588757	0.00087727	0.00135645	0.001334742	0.001232664	0.002385669	0.001149493	0.001071035	0.001620003	0.000837259	0.000867317	0.000936844	0.001736565	0.0000249	0.001482942	0.001034971	0.00115244	0.001787766	0.001540586	0.00162225	0.001672885	0.001325778	0.001428059	0.001503464
