pathway_id,pathway_size,foreground_size,background_size,foreground_in_pathway,foreground_not_in_pathway,background_in_pathway_not_foreground,background_not_in_pathway_not_foreground,oddsratio,p_value,q_value
map04540,3,312,403,1,311,2,89,0.14308681672025725,0.9887798558490629,0.9970974903138505
map04724,3,312,403,1,311,2,89,0.14308681672025725,0.9887798558490629,0.9970974903138505
map04928,3,312,403,1,311,2,89,0.14308681672025725,0.9887798558490629,0.9970974903138505
map04960,3,312,403,1,311,2,89,0.14308681672025725,0.9887798558490629,0.9970974903138505
map02030,3,312,403,1,311,2,89,0.14308681672025725,0.9887798558490629,0.9970974903138505
map01320,3,312,403,1,311,2,89,0.14308681672025725,0.9887798558490629,0.9970974903138505
map00190,3,312,403,1,311,2,89,0.14308681672025725,0.9887798558490629,0.9970974903138505
map00311,3,312,403,1,311,2,89,0.14308681672025725,0.9887798558490629,0.9970974903138505
map04727,5,312,403,2,310,3,88,0.18924731182795698,0.9898107593191716,0.9970974903138505
map04024,7,312,403,3,309,4,87,0.2111650485436893,0.9923942002652002,0.9970974903138505
map00920,6,312,403,2,310,4,87,0.1403225806451613,0.9973521273748579,0.9973521273748579
